"","feature","frequency","rank","docfreq","group"
"1","organized_exclusively_charitable",1097,1,1097,"all"
"2","organization_s_mission",1062,2,1060,"all"
"3","internal_revenue_code",860,3,857,"all"
"4","c_internal_revenue",766,4,765,"all"
"5","inc_mission_provide",764,5,764,"all"
"6","section_c_internal",722,6,721,"all"
"7","charitable_educational_purposes",670,7,668,"all"
"8","exclusively_charitable_educational",653,8,653,"all"
"9","corporation_organized_exclusively",629,9,629,"all"
"10","improve_quality_life",608,10,607,"all"
"11","s_mission_provide",568,11,568,"all"
"12","high_school_students",524,12,521,"all"
"13","gospel_jesus_christ",519,13,515,"all"
"14","exclusively_charitable_purposes",492,14,492,"all"
"15","charitable_religious_educational",480,15,480,"all"
"16","inc_organization_s",476,16,476,"all"
"17","within_meaning_section",462,17,461,"all"
"18","educational_scientific_purposes",444,18,444,"all"
"19","foundation_inc_provide",443,19,443,"all"
"20","meaning_section_c",435,20,434,"all"
"21","provide_financial_assistance",428,21,426,"all"
"22","foundation_inc_mission",420,22,420,"all"
"23","exclusively_charitable_religious",412,23,412,"all"
"24","provide_financial_support",411,24,407,"all"
"25","inc_corporation_organized",383,25,383,"all"
"26","specific_purpose_corporation",360,26,360,"all"
"27","purposes_within_meaning",360,26,360,"all"
"28","organizations_qualify_exempt",339,28,339,"all"
"29","inc_purpose_organization",335,29,335,"all"
"30","religious_educational_scientific",332,30,332,"all"
"31","making_distributions_organizations",311,31,311,"all"
"32","distributions_organizations_qualify",311,31,311,"all"
"33","qualify_exempt_organizations",307,33,307,"all"
"34","youth_young_adults",307,33,304,"all"
"35","science_technology_engineering",302,35,300,"all"
"36","low_income_families",301,36,295,"all"
"37","operated_exclusively_charitable",297,37,297,"all"
"38","organized_operated_exclusively",281,38,281,"all"
"39","parent_teacher_organization",277,39,259,"all"
"40","raise_funds_support",273,40,273,"all"
"41","purposes_including_purposes",263,41,263,"all"
"42","organization_organized_exclusively",262,42,262,"all"
"43","including_purposes_making",259,43,259,"all"
"44","purposes_making_distributions",257,44,257,"all"
"45","foundation_inc_organization",251,45,251,"all"
"46","amateur_sports_competition",244,46,243,"all"
"47","inc_organization_formed",240,47,240,"all"
"48","exemption_section_c",237,48,237,"all"
"49","exempt_organizations_section",233,49,233,"all"
"50","inc_raise_funds",230,50,230,"all"
"51","non_profit_organization",229,51,229,"all"
"52","mission_provide_support",228,52,228,"all"
"53","inc_purpose_corporation",227,53,227,"all"
"54","booster_club_inc",226,54,216,"all"
"55","qualified_exemption_section",223,55,223,"all"
"56","organizations_section_c",220,56,220,"all"
"57","revenue_code_corresponding",213,57,213,"all"
"58","inc_mission_organization",206,58,206,"all"
"59","purpose_organization_provide",205,59,205,"all"
"60","inc_provide_support",203,60,203,"all"
"61","code_corresponding_section",199,61,199,"all"
"62","purposes_section_c",197,62,197,"all"
"63","corresponding_section_future",197,62,197,"all"
"64","inc_organization_provide",192,64,192,"all"
"65","corporation_organized_operated",192,64,192,"all"
"66","educational_purposes_including",190,66,190,"all"
"67","school_parents_teachers",188,67,188,"all"
"68","enhance_quality_life",186,68,186,"all"
"69","inc_provide_educational",183,69,183,"all"
"70","scientific_purposes_including",183,69,183,"all"
"71","mission_provide_educational",177,71,177,"all"
"72","charitable_educational_scientific",176,72,176,"all"
"73","inc_provide_financial",176,72,176,"all"
"74","purpose_corporation_provide",175,74,175,"all"
"75","provide_food_clothing",175,74,175,"all"
"76","organization_formed_provide",174,76,174,"all"
"77","educational_charitable_purposes",167,77,167,"all"
"78","federal_tax_code",167,77,167,"all"
"79","booster_club_support",163,79,163,"all"
"80","future_federal_tax",162,80,162,"all"
"81","mission_raise_funds",161,81,161,"all"
"82","foundation_mission_provide",161,81,161,"all"
"83","section_future_federal",161,81,161,"all"
"84","volunteer_fire_department",160,84,135,"all"
"85","mission_organization_provide",160,84,160,"all"
"86","shall_operated_exclusively",157,86,157,"all"
"87","inc_specific_purpose",154,87,154,"all"
"88","middle_high_school",151,88,150,"all"
"89","enhance_support_educational",150,89,150,"all"
